STATIONS,STATIONS_NAME
ABO,ABO - Adelboden
AIG,AIG - Aigle
ALT,ALT - Altdorf
BAS,BAS - Basel / Binningen
BER,BER - Bern / Zollikofen
BKLI,BKLI - BKLI
BUS,BUS - Buchs / Aarau
CDF,CDF - La Chaux-de-Fonds
CHU,CHU - Chur
DAV,DAV - Davos
DIS,DIS - Disentis
ENG,ENG - Engelberg
FRE,FRE - Bullet / La Frétaz
GLA,GLA - Glarus
GSB,GSB - Col du Grand St-Bernard
GUT,GUT - Güttingen
GVE,GVE - Genève / Cointrin
INT,INT - Interlaken
KLO,KLO - Zürich / Kloten
LUG,LUG - Lugano
LUZ,LUZ - Luzern
MAG,MAG - Magadino / Cadenazzo
MVE,MVE - Montana
NABBER,NABBER - NABBER
NABLAU,NABLAU - NABLAU
NABZUE,NABZUE - NABZUE
NEU,NEU - Neuchâtel
OTL,OTL - Locarno / Monti
PAY,PAY - Payerne
PIO,PIO - Piotta
PUY,PUY - Pully
REH,REH - Zürich / Affoltern
ROB,ROB - Poschiavo / Robbia
RUE,RUE - Rünenberg
SAM,SAM - Samedan
SBE,SBE - S. Bernardino
SCU,SCU - Scuol
SHA,SHA - Schaffhausen
SIO,SIO - Sion
SMA,SMA - Zürich / Fluntern
STG,STG - St. Gallen
ULR,ULR - Ulrichen
VAD,VAD - Vaduz
WYN,WYN - Wynau
ZER,ZER - Zermatt
